OBJECTID,REPORT_TAKEN_DATE,YEAR,BLOCK_ADDRESS,DISTRICT,PSA,FIELD_CONTACT_TYPE,REASON_FOR_STOP,DATA_TYPE,RACE,ETHNICITY,SEX,AGE
2865,3/2/2014 3:52,2014,11TH ST NW / LAMONT ST NW,3D,302,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,36
2866,3/2/2014 4:57,2014,Multiple/Unknown Address,,,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,28
2867,3/2/2014 4:57,2014,Multiple/Unknown Address,,,Pedestrian Stop,Call For Service,Person,Unknown,Unknown,Unknown,
2868,3/2/2014 17:23,2014,8TH ST NE / K ST NE,1D,104,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,61
2869,3/4/2014 22:25,2014,400 BLOCK OF 8TH ST SE,1D,107,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,Juvenile
2870,3/4/2014 23:48,2014,2700 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,703,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,35
2871,3/5/2014 15:54,2014,3100 BLOCK OF MOUNT PLEASANT ST NW,4D,408,Vehicle Stop,Moving Violation,Person,Asian,Unknown,Female,29
2872,3/5/2014 19:42,2014,1800 BLOCK OF KILBOURNE PL NW,4D,408,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,41
2873,3/6/2014 20:33,2014,600 BLOCK OF NEWTON ST NW,4D,302,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,25
2874,3/6/2014 21:18,2014,1400 BLK P ST NW,,,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,51
2875,3/7/2014 4:45,2014,FIRST AND ATLANTIC SE,,,Vehicle Stop,Suspicious Activity,Person,Black,Unknown,Male,22
2876,3/8/2014 7:04,2014,1400 BLOCK OF COLUMBIA RD NW,3D,302,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,22
2877,3/8/2014 17:00,2014,1300 BLOCK OF MISSISSIPPI AVE SE,7D,705,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,27
2878,3/8/2014 17:46,2014,1200 BLOCK OF MISSISSIPPI AVE SE,7D,705,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,27
